MAX MIN 1 GE Simp 4,MIN MAX 1 GE Simp 4,Month of Data Escala de Tempo 1 GE Simp 4,Data Escala de Tempo 1 GE Simp 4,dsc_estado,id_subsistema,nom_tipousinasite,nom_usina 2,Período Exibido GE,Selecione Tipo de GE Simp 4
12/6/2018 12:00:00 AM,11/26/2018 12:00:00 AM,December 2018,12/1/2018 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,141.70724427
11/6/2018 12:00:00 AM,10/27/2018 12:00:00 AM,November 2018,11/1/2018 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,105.29435743
10/6/2018 12:00:00 AM,9/26/2018 12:00:00 AM,October 2018,10/1/2018 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,116.57652617
9/6/2018 12:00:00 AM,8/27/2018 12:00:00 AM,September 2018,9/1/2018 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,133.2808752
8/6/2018 12:00:00 AM,7/27/2018 12:00:00 AM,August 2018,8/1/2018 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,116.36769897
7/6/2018 12:00:00 AM,6/26/2018 12:00:00 AM,July 2018,7/1/2018 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,120.33433652
6/6/2018 12:00:00 AM,5/27/2018 12:00:00 AM,June 2018,6/1/2018 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,105.61402883
5/6/2018 12:00:00 AM,4/26/2018 12:00:00 AM,May 2018,5/1/2018 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,102.6705088
4/6/2018 12:00:00 AM,3/27/2018 12:00:00 AM,April 2018,4/1/2018 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,88.57243196
3/6/2018 12:00:00 AM,2/24/2018 12:00:00 AM,March 2018,3/1/2018 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,81.72441642
2/6/2018 12:00:00 AM,1/27/2018 12:00:00 AM,February 2018,2/1/2018 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,63.70484369
1/6/2018 12:00:00 AM,12/27/2017 12:00:00 AM,January 2018,1/1/2018 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,74.91272673
12/6/2017 12:00:00 AM,11/26/2017 12:00:00 AM,December 2017,12/1/2017 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,52.831565
11/6/2017 12:00:00 AM,10/27/2017 12:00:00 AM,November 2017,11/1/2017 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,39.42202944
10/6/2017 12:00:00 AM,9/26/2017 12:00:00 AM,October 2017,10/1/2017 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,41.82822091
9/6/2017 12:00:00 AM,8/27/2017 12:00:00 AM,September 2017,9/1/2017 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,8.65958559
8/6/2017 12:00:00 AM,7/27/2017 12:00:00 AM,August 2017,8/1/2017 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,0.36205668
7/6/2017 12:00:00 AM,6/26/2017 12:00:00 AM,July 2017,7/1/2017 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,0.31236191
6/6/2017 12:00:00 AM,5/27/2017 12:00:00 AM,June 2017,6/1/2017 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,0.28320579
5/6/2017 12:00:00 AM,4/26/2017 12:00:00 AM,May 2017,5/1/2017 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,0.27128681
4/6/2017 12:00:00 AM,3/27/2017 12:00:00 AM,April 2017,4/1/2017 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,0.34823969
3/6/2017 12:00:00 AM,2/24/2017 12:00:00 AM,March 2017,3/1/2017 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,0.40797262
2/6/2017 12:00:00 AM,1/27/2017 12:00:00 AM,February 2017,2/1/2017 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,0.41972883
1/6/2017 12:00:00 AM,12/27/2016 12:00:00 AM,January 2017,1/1/2017 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,0.41759883
12/6/2016 12:00:00 AM,11/26/2016 12:00:00 AM,December 2016,12/1/2016 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,0.42623527
11/6/2016 12:00:00 AM,10/27/2016 12:00:00 AM,November 2016,11/1/2016 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,0.40395217
10/6/2016 12:00:00 AM,9/26/2016 12:00:00 AM,October 2016,10/1/2016 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,0.44246258
9/6/2016 12:00:00 AM,8/27/2016 12:00:00 AM,September 2016,9/1/2016 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,0.42845548
8/6/2016 12:00:00 AM,7/27/2016 12:00:00 AM,August 2016,8/1/2016 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,0.34169854
7/6/2016 12:00:00 AM,6/26/2016 12:00:00 AM,July 2016,7/1/2016 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,0.31706159
6/6/2016 12:00:00 AM,5/27/2016 12:00:00 AM,June 2016,6/1/2016 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,0.28331907
5/6/2016 12:00:00 AM,4/26/2016 12:00:00 AM,May 2016,5/1/2016 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,0.3086793
4/6/2016 12:00:00 AM,3/27/2016 12:00:00 AM,April 2016,4/1/2016 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,0.38353567
3/6/2016 12:00:00 AM,2/25/2016 12:00:00 AM,March 2016,3/1/2016 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,0.37936427
2/6/2016 12:00:00 AM,1/27/2016 12:00:00 AM,February 2016,2/1/2016 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,0.42292323
1/6/2016 12:00:00 AM,12/27/2015 12:00:00 AM,January 2016,1/1/2016 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,0.38868033
12/6/2015 12:00:00 AM,11/26/2015 12:00:00 AM,December 2015,12/1/2015 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,0.41156129
11/6/2015 12:00:00 AM,10/27/2015 12:00:00 AM,November 2015,11/1/2015 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,0.39556909
10/6/2015 12:00:00 AM,9/26/2015 12:00:00 AM,October 2015,10/1/2015 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,0.44518889
9/6/2015 12:00:00 AM,8/27/2015 12:00:00 AM,September 2015,9/1/2015 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,0.38373597
8/6/2015 12:00:00 AM,7/27/2015 12:00:00 AM,August 2015,8/1/2015 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,0.38937227
7/6/2015 12:00:00 AM,6/26/2015 12:00:00 AM,July 2015,7/1/2015 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,0.28142711
6/6/2015 12:00:00 AM,5/27/2015 12:00:00 AM,June 2015,6/1/2015 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,0.30261016
5/6/2015 12:00:00 AM,4/26/2015 12:00:00 AM,May 2015,5/1/2015 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,0.27687715
4/6/2015 12:00:00 AM,3/27/2015 12:00:00 AM,April 2015,4/1/2015 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,0.3643447
3/6/2015 12:00:00 AM,2/24/2015 12:00:00 AM,March 2015,3/1/2015 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,0.3569036
2/6/2015 12:00:00 AM,1/27/2015 12:00:00 AM,February 2015,2/1/2015 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,0.4122168
1/6/2015 12:00:00 AM,12/27/2014 12:00:00 AM,January 2015,1/1/2015 12:00:00 AM,*,Sudeste/Centro-Oeste,Solar,*,2,0.49121208
