,tEn1,tEn2,tEn3,tEn4,tEn5,tEn13,tEn14,tEn15,tEn16,tEn17,tEn18,tEn19,tEn20,gUHE1,gUHE2,gUHE3,gUHE4,gUHE5,gUHE13,gUHE14,gUHE15,gUHE16,gUHE17,gUHE18,gUHE19,gUHE20,gUN1,gUN2,gUN3,gUN4,gUN5,gUN13,gUN14,gUN15,gUN16,gUN17,gUN18,gUN19,gUN20,gUTE1,gUTE2,gUTE3,gUTE4,gUTE5,gUTE13,gUTE14,gUTE15,gUTE16,gUTE17,gUTE18,gUTE19,gUTE20,gUSolar1,gUSolar2,gUSolar3,gUSolar4,gUSolar5,gUSolar13,gUSolar14,gUSolar15,gUSolar16,gUSolar17,gUSolar18,gUSolar19,gUSolar20,gUWind1,gUWind2,gUWind3,gUWind4,gUWind5,gUWind13,gUWind14,gUWind15,gUWind16,gUWind17,gUWind18,gUWind19,gUWind20,load1,load2,load3,load4,load5,load13,load14,load15,load16,load17,load18,load19,load20,ENA1,ENA2,ENA3,ENA4,ENA5,ENA13,ENA14,ENA15,ENA16,ENA17,ENA18,ENA19,ENA20,AfSum1,AfSum2,AfSum3,AfSum4,AfSum5,AfSum13,AfSum14,AfSum15,AfSum16,AfSum17,AfSum18,AfSum19,AfSum20,uAfSum1,uAfSum2,uAfSum3,uAfSum4,uAfSum5,uAfSum13,uAfSum14,uAfSum15,uAfSum16,uAfSum17,uAfSum18,uAfSum19,uAfSum20
0,93418,104905,114155,115591,117344,69723,76088,73501,73329,68274,58037,42080,34644,28437.35521863,28894.87041011,29805.92363915,29426.18594984,30455.64638056,22751.31828376,23401.04813915,23403.7138477,24783.93303173,25719.07952314,27382.62026095,26648.05487266,27963.10908224,1991.60499576,1537.72092698,1735.94992063,2010.77814896,1983.62528726,1834.53154652,1836.73987705,1378.65433982,1516.99526173,2014.78002522,1777.61538497,1713.06081316,1959.75109243,6960.80343545,5927.21299809,5763.48318623,5839.89660005,5559.94661805,9283.68874657,9080.10729465,10017.45996838,9485.66564672,8477.26583112,7164.470394200001,7256.59613647,7077.21639863,0.34169854,0.31706159,0.28331907,0.3086793,0.38353567,0.38937227,0.28142711,0.30261016,0.27687715,0.3643447,0.3569036,0.41221679999999994,0.49121208,9.62026159,4.93385998,2.7660454,3.4494229,6.88479173,8.06666997,8.15877736,4.09790631,3.84759935,3.74473,5.99144922,12.41947473,16.95875107,36964.01090709,35943.32567673,35668.35619135,36489.89741982,40562.77142847,36645.6938438,35804.65631059,35762.25387528,36216.22456983,38008.00657551,39364.21499493,40056.05793554,41386.73862457,21118,22642,37570,33758,37150,15974,28195,22846,29896,36750,42715,34475,22132,53263,62121,107732,109804,131184,61849,103690,116239,149354,166476,197494,166657,119179,8316.15,13855.16,35929.4,48870.35999999999,65010.19999999999,23631.020000000004,45686.38,62495.8,80682.93000000001,84774.93000000001,104517.46,88704.17,64988.39999999999
1,81654,93418,104905,114155,115591,65634,69723,76088,73501,73329,68274,58037,42080,27712.17104975,28437.35521863,28894.87041011,29805.92363915,29426.18594984,23805.56709454,22751.31828376,23401.04813915,23403.7138477,24783.93303173,25719.07952314,27382.62026095,26648.05487266,2019.89047162,1991.60499576,1537.72092698,1735.94992063,2010.77814896,1583.47897046,1834.53154652,1836.73987705,1378.65433982,1516.99526173,2014.78002522,1777.61538497,1713.06081316,7671.59747456,6960.80343545,5927.21299809,5763.48318623,5839.89660005,9540.09135541,9283.68874657,9080.10729465,10017.45996838,9485.66564672,8477.26583112,7164.470394200001,7256.59613647,0.42845548,0.34169854,0.31706159,0.28331907,0.3086793,0.38373597,0.38937227,0.28142711,0.30261016,0.27687715,0.3643447,0.3569036,0.41221679999999994,10.04615169,9.62026159,4.93385998,2.7660454,3.4494229,10.27744321,8.06666997,8.15877736,4.09790631,3.84759935,3.74473,5.99144922,12.41947473,37414.56968863,36964.01090709,35943.32567673,35668.35619135,36489.89741982,37944.84847428,36645.6938438,35804.65631059,35762.25387528,36216.22456983,38008.00657551,39364.21499493,40056.05793554,18521,21118,22642,37570,33758,20875,15974,28195,22846,29896,36750,42715,34475,47350,53263,62121,107732,109804,63473,61849,103690,116239,149354,166476,197494,166657,6785.5700000000015,8316.15,13855.16,35929.4,48870.35999999999,14788.02,23631.020000000004,45686.38,62495.8,80682.93000000001,84774.93000000001,104517.46,88704.17
2,70826,81654,93418,104905,114155,56405,65634,69723,76088,73501,73329,68274,58037,28518.09423547,27712.17104975,28437.35521863,28894.87041011,29805.92363915,27128.17184488,23805.56709454,22751.31828376,23401.04813915,23403.7138477,24783.93303173,25719.07952314,27382.62026095,2013.97064037,2019.89047162,1991.60499576,1537.72092698,1735.94992063,692.28556861,1583.47897046,1834.53154652,1836.73987705,1378.65433982,1516.99526173,2014.78002522,1777.61538497,7281.69796796,7671.59747456,6960.80343545,5927.21299809,5763.48318623,9635.65766369,9540.09135541,9283.68874657,9080.10729465,10017.45996838,9485.66564672,8477.26583112,7164.470394200001,0.44246258,0.42845548,0.34169854,0.31706159,0.28331907,0.44518889,0.38373597,0.38937227,0.28142711,0.30261016,0.27687715,0.3643447,0.3569036,11.15289508,10.04615169,9.62026159,4.93385998,2.7660454,11.65777859,10.27744321,8.06666997,8.15877736,4.09790631,3.84759935,3.74473,5.99144922,37703.12219417,37414.56968863,36964.01090709,35943.32567673,35668.35619135,39159.22561865,37944.84847428,36645.6938438,35804.65631059,35762.25387528,36216.22456983,38008.00657551,39364.21499493,19836,18521,21118,22642,37570,19777,20875,15974,28195,22846,29896,36750,42715,51362,47350,53263,62121,107732,56553,63473,61849,103690,116239,149354,166476,197494,8019.019999999998,6785.5700000000015,8316.15,13855.16,35929.4,13569.35,14788.02,23631.020000000004,45686.38,62495.8,80682.93000000001,84774.93000000001,104517.46
3,68055,70826,81654,93418,104905,55920,56405,65634,69723,76088,73501,73329,68274,29694.81061907,28518.09423547,27712.17104975,28437.35521863,28894.87041011,27779.07419617,27128.17184488,23805.56709454,22751.31828376,23401.04813915,23403.7138477,24783.93303173,25719.07952314,1200.78767068,2013.97064037,2019.89047162,1991.60499576,1537.72092698,1980.20867072,692.28556861,1583.47897046,1834.53154652,1836.73987705,1378.65433982,1516.99526173,2014.78002522,7260.27703038,7281.69796796,7671.59747456,6960.80343545,5927.21299809,8481.09759078,9635.65766369,9540.09135541,9283.68874657,9080.10729465,10017.45996838,9485.66564672,8477.26583112,0.40395217,0.44246258,0.42845548,0.34169854,0.31706159,0.39556909,0.44518889,0.38373597,0.38937227,0.28142711,0.30261016,0.27687715,0.3643447,11.00015271,11.15289508,10.04615169,9.62026159,4.93385998,7.22924028,11.65777859,10.27744321,8.06666997,8.15877736,4.09790631,3.84759935,3.74473,37402.36663729,37703.12219417,37414.56968863,36964.01090709,35943.32567673,38433.06889509,39159.22561865,37944.84847428,36645.6938438,35804.65631059,35762.25387528,36216.22456983,38008.00657551,27150,19836,18521,21118,22642,31879,19777,20875,15974,28195,22846,29896,36750,73848,51362,47350,53263,62121,93708,56553,63473,61849,103690,116239,149354,166476,17252.29,8019.019999999998,6785.5700000000015,8316.15,13855.16,27762.160000000003,13569.35,14788.02,23631.020000000004,45686.38,62495.8,80682.93000000001,84774.93000000001
4,68612,68055,70826,81654,93418,60580,55920,56405,65634,69723,76088,73501,73329,33698.46112159,29694.81061907,28518.09423547,27712.17104975,28437.35521863,28067.66809229,27779.07419617,27128.17184488,23805.56709454,22751.31828376,23401.04813915,23403.7138477,24783.93303173,1185.61030845,1200.78767068,2013.97064037,2019.89047162,1991.60499576,2004.32699537,1980.20867072,692.28556861,1583.47897046,1834.53154652,1836.73987705,1378.65433982,1516.99526173,4256.17660256,7260.27703038,7281.69796796,7671.59747456,6960.80343545,7188.12219153,8481.09759078,9635.65766369,9540.09135541,9283.68874657,9080.10729465,10017.45996838,9485.66564672,0.42623527,0.40395217,0.44246258,0.42845548,0.34169854,0.41156129,0.39556909,0.44518889,0.38373597,0.38937227,0.28142711,0.30261016,0.27687715,8.32606514,11.00015271,11.15289508,10.04615169,9.62026159,12.3369067,7.22924028,11.65777859,10.27744321,8.06666997,8.15877736,4.09790631,3.84759935,37599.09948698,37402.36663729,37703.12219417,37414.56968863,36964.01090709,38110.38337257,38433.06889509,39159.22561865,37944.84847428,36645.6938438,35804.65631059,35762.25387528,36216.22456983,36708,27150,19836,18521,21118,42805,31879,19777,20875,15974,28195,22846,29896,103779,73848,51362,47350,53263,119844,93708,56553,63473,61849,103690,116239,149354,32490.570000000003,17252.29,8019.019999999998,6785.5700000000015,8316.15,38107.4,27762.160000000003,13569.35,14788.02,23631.020000000004,45686.38,62495.8,80682.93000000001
5,75909,68612,68055,70826,81654,90350,60580,55920,56405,65634,69723,76088,73501,35483.63767092,33698.46112159,29694.81061907,28518.09423547,27712.17104975,31307.3049506,28067.66809229,27779.07419617,27128.17184488,23805.56709454,22751.31828376,23401.04813915,23403.7138477,1937.05332521,1185.61030845,1200.78767068,2013.97064037,2019.89047162,2004.77236524,2004.32699537,1980.20867072,692.28556861,1583.47897046,1834.53154652,1836.73987705,1378.65433982,3109.08635349,4256.17660256,7260.27703038,7281.69796796,7671.59747456,5305.02556881,7188.12219153,8481.09759078,9635.65766369,9540.09135541,9283.68874657,9080.10729465,10017.45996838,0.41759883,0.42623527,0.40395217,0.44246258,0.42845548,0.38868033,0.41156129,0.39556909,0.44518889,0.38373597,0.38937227,0.28142711,0.30261016,14.66838402,8.32606514,11.00015271,11.15289508,10.04615169,8.35163228,12.3369067,7.22924028,11.65777859,10.27744321,8.06666997,8.15877736,4.09790631,39921.23333548,37599.09948698,37402.36663729,37703.12219417,37414.56968863,37362.51974634,38110.38337257,38433.06889509,39159.22561865,37944.84847428,36645.6938438,35804.65631059,35762.25387528,43926,36708,27150,19836,18521,79607,42805,31879,19777,20875,15974,28195,22846,140221,103779,73848,51362,47350,225284,119844,93708,56553,63473,61849,103690,116239,59120.16999999999,32490.570000000003,17252.29,8019.019999999998,6785.5700000000015,85983.91,38107.4,27762.160000000003,13569.35,14788.02,23631.020000000004,45686.38,62495.8
6,82112,75909,68612,68055,70826,103557,90350,60580,55920,56405,65634,69723,76088,36459.06987787,35483.63767092,33698.46112159,29694.81061907,28518.09423547,32191.33484955,31307.3049506,28067.66809229,27779.07419617,27128.17184488,23805.56709454,22751.31828376,23401.04813915,1784.09988414,1937.05332521,1185.61030845,1200.78767068,2013.97064037,1993.03562506,2004.77236524,2004.32699537,1980.20867072,692.28556861,1583.47897046,1834.53154652,1836.73987705,3148.61829541,3109.08635349,4256.17660256,7260.27703038,7281.69796796,4780.77869822,5305.02556881,7188.12219153,8481.09759078,9635.65766369,9540.09135541,9283.68874657,9080.10729465,0.41972883,0.41759883,0.42623527,0.40395217,0.44246258,0.42292323,0.38868033,0.41156129,0.39556909,0.44518889,0.38373597,0.38937227,0.28142711,7.33746044,14.66838402,8.32606514,11.00015271,11.15289508,9.5752115,8.35163228,12.3369067,7.22924028,11.65777859,10.27744321,8.06666997,8.15877736,41016.37524973,39921.23333548,37599.09948698,37402.36663729,37703.12219417,40324.15728661,37362.51974634,38110.38337257,38433.06889509,39159.22561865,37944.84847428,36645.6938438,35804.65631059,49325,43926,36708,27150,19836,58383,79607,42805,31879,19777,20875,15974,28195,155365,140221,103779,73848,51362,180255,225284,119844,93708,56553,63473,61849,103690,68615.41,59120.16999999999,32490.570000000003,17252.29,8019.019999999998,75221.99,85983.91,38107.4,27762.160000000003,13569.35,14788.02,23631.020000000004,45686.38
7,84294,82112,75909,68612,68055,118510,103557,90350,60580,55920,56405,65634,69723,35252.80075112,36459.06987787,35483.63767092,33698.46112159,29694.81061907,32396.12433443,32191.33484955,31307.3049506,28067.66809229,27779.07419617,27128.17184488,23805.56709454,22751.31828376,1776.36746884,1784.09988414,1937.05332521,1185.61030845,1200.78767068,1997.758286,1993.03562506,2004.77236524,2004.32699537,1980.20867072,692.28556861,1583.47897046,1834.53154652,4907.60936895,3148.61829541,3109.08635349,4256.17660256,7260.27703038,3825.34967674,4780.77869822,5305.02556881,7188.12219153,8481.09759078,9635.65766369,9540.09135541,9283.68874657,0.40797262,0.41972883,0.41759883,0.42623527,0.40395217,0.37936427,0.42292323,0.38868033,0.41156129,0.39556909,0.44518889,0.38373597,0.38937227,7.15695472,7.33746044,14.66838402,8.32606514,11.00015271,7.52322887,9.5752115,8.35163228,12.3369067,7.22924028,11.65777859,10.27744321,8.06666997,40531.7025195,41016.37524973,39921.23333548,37599.09948698,37402.36663729,39743.02162886,40324.15728661,37362.51974634,38110.38337257,38433.06889509,39159.22561865,37944.84847428,36645.6938438,45477,49325,43926,36708,27150,64152,58383,79607,42805,31879,19777,20875,15974,161129,155365,140221,103779,73848,204802,180255,225284,119844,93708,56553,63473,61849,85872.73000000001,68615.41,59120.16999999999,32490.570000000003,17252.29,94587.17,75221.99,85983.91,38107.4,27762.160000000003,13569.35,14788.02,23631.020000000004
8,85117,84294,82112,75909,68612,117344,118510,103557,90350,60580,55920,56405,65634,30826.541615900005,35252.80075112,36459.06987787,35483.63767092,33698.46112159,30455.64638056,32396.12433443,32191.33484955,31307.3049506,28067.66809229,27779.07419617,27128.17184488,23805.56709454,1999.45841136,1776.36746884,1784.09988414,1937.05332521,1185.61030845,1983.62528726,1997.758286,1993.03562506,2004.77236524,2004.32699537,1980.20867072,692.28556861,1583.47897046,7178.36563607,4907.60936895,3148.61829541,3109.08635349,4256.17660256,5559.94661805,3825.34967674,4780.77869822,5305.02556881,7188.12219153,8481.09759078,9635.65766369,9540.09135541,0.34823969,0.40797262,0.41972883,0.41759883,0.42623527,0.38353567,0.37936427,0.42292323,0.38868033,0.41156129,0.39556909,0.44518889,0.38373597,5.31887905,7.15695472,7.33746044,14.66838402,8.32606514,6.88479173,7.52322887,9.5752115,8.35163228,12.3369067,7.22924028,11.65777859,10.27744321,37778.24278557,40531.7025195,41016.37524973,39921.23333548,37599.09948698,40562.77142847,39743.02162886,40324.15728661,37362.51974634,38110.38337257,38433.06889509,39159.22561865,37944.84847428,38854,45477,49325,43926,36708,37150,64152,58383,79607,42805,31879,19777,20875,140246,161129,155365,140221,103779,131184,204802,180255,225284,119844,93708,56553,63473,76632.88,85872.73000000001,68615.41,59120.16999999999,32490.570000000003,65010.19999999999,94587.17,75221.99,85983.91,38107.4,27762.160000000003,13569.35,14788.02
9,88088,85117,84294,82112,75909,115591,117344,118510,103557,90350,60580,55920,56405,29412.16991426,30826.541615900005,35252.80075112,36459.06987787,35483.63767092,29426.18594984,30455.64638056,32396.12433443,32191.33484955,31307.3049506,28067.66809229,27779.07419617,27128.17184488,1905.80741279,1999.45841136,1776.36746884,1784.09988414,1937.05332521,2010.77814896,1983.62528726,1997.758286,1993.03562506,2004.77236524,2004.32699537,1980.20867072,692.28556861,7722.67067823,7178.36563607,4907.60936895,3148.61829541,3109.08635349,5839.89660005,5559.94661805,3825.34967674,4780.77869822,5305.02556881,7188.12219153,8481.09759078,9635.65766369,0.27128681,0.34823969,0.40797262,0.41972883,0.41759883,0.3086793,0.38353567,0.37936427,0.42292323,0.38868033,0.41156129,0.39556909,0.44518889,5.86868505,5.31887905,7.15695472,7.33746044,14.66838402,3.4494229,6.88479173,7.52322887,9.5752115,8.35163228,12.3369067,7.22924028,11.65777859,36915.27798084,37778.24278557,40531.7025195,41016.37524973,39921.23333548,36489.89741982,40562.77142847,39743.02162886,40324.15728661,37362.51974634,38110.38337257,38433.06889509,39159.22561865,38796,38854,45477,49325,43926,33758,37150,64152,58383,79607,42805,31879,19777,130740,140246,161129,155365,140221,109804,131184,204802,180255,225284,119844,93708,56553,64180.6,76632.88,85872.73000000001,68615.41,59120.16999999999,48870.35999999999,65010.19999999999,94587.17,75221.99,85983.91,38107.4,27762.160000000003,13569.35
10,85638,88088,85117,84294,82112,114155,115591,117344,118510,103557,90350,60580,55920,26903.90220411,29412.16991426,30826.541615900005,35252.80075112,36459.06987787,29805.92363915,29426.18594984,30455.64638056,32396.12433443,32191.33484955,31307.3049506,28067.66809229,27779.07419617,1748.99729255,1905.80741279,1999.45841136,1776.36746884,1784.09988414,1735.94992063,2010.77814896,1983.62528726,1997.758286,1993.03562506,2004.77236524,2004.32699537,1980.20867072,6272.06009064,7722.67067823,7178.36563607,4907.60936895,3148.61829541,5763.48318623,5839.89660005,5559.94661805,3825.34967674,4780.77869822,5305.02556881,7188.12219153,8481.09759078,0.28320579,0.27128681,0.34823969,0.40797262,0.41972883,0.28331907,0.3086793,0.38353567,0.37936427,0.42292323,0.38868033,0.41156129,0.39556909,4.1469946,5.86868505,5.31887905,7.15695472,7.33746044,2.7660454,3.4494229,6.88479173,7.52322887,9.5752115,8.35163228,12.3369067,7.22924028,36555.45979111,36915.27798084,37778.24278557,40531.7025195,41016.37524973,35668.35619135,36489.89741982,40562.77142847,39743.02162886,40324.15728661,37362.51974634,38110.38337257,38433.06889509,33779,38796,38854,45477,49325,37570,33758,37150,64152,58383,79607,42805,31879,107378,130740,140246,161129,155365,107732,109804,131184,204802,180255,225284,119844,93708,48152.94,64180.6,76632.88,85872.73000000001,68615.41,35929.4,48870.35999999999,65010.19999999999,94587.17,75221.99,85983.91,38107.4,27762.160000000003
11,77600,85638,88088,85117,84294,104905,114155,115591,117344,118510,103557,90350,60580,25388.07537588,26903.90220411,29412.16991426,30826.541615900005,35252.80075112,28894.87041011,29805.92363915,29426.18594984,30455.64638056,32396.12433443,32191.33484955,31307.3049506,28067.66809229,1913.79233991,1748.99729255,1905.80741279,1999.45841136,1776.36746884,1537.72092698,1735.94992063,2010.77814896,1983.62528726,1997.758286,1993.03562506,2004.77236524,2004.32699537,8441.61590394,6272.06009064,7722.67067823,7178.36563607,4907.60936895,5927.21299809,5763.48318623,5839.89660005,5559.94661805,3825.34967674,4780.77869822,5305.02556881,7188.12219153,0.31236191,0.28320579,0.27128681,0.34823969,0.40797262,0.31706159,0.28331907,0.3086793,0.38353567,0.37936427,0.42292323,0.38868033,0.41156129,4.58604192,4.1469946,5.86868505,5.31887905,7.15695472,4.93385998,2.7660454,3.4494229,6.88479173,7.52322887,9.5752115,8.35163228,12.3369067,35352.02202723,36555.45979111,36915.27798084,37778.24278557,40531.7025195,35943.32567673,35668.35619135,36489.89741982,40562.77142847,39743.02162886,40324.15728661,37362.51974634,38110.38337257,20006,33779,38796,38854,45477,22642,37570,33758,37150,64152,58383,79607,42805,62746,107378,130740,140246,161129,62121,107732,109804,131184,204802,180255,225284,119844,22262.470000000005,48152.94,64180.6,76632.88,85872.73000000001,13855.16,35929.4,48870.35999999999,65010.19999999999,94587.17,75221.99,85983.91,38107.4
12,66083,77600,85638,88088,85117,93418,104905,114155,115591,117344,118510,103557,90350,25513.07221635,25388.07537588,26903.90220411,29412.16991426,30826.541615900005,28437.35521863,28894.87041011,29805.92363915,29426.18594984,30455.64638056,32396.12433443,32191.33484955,31307.3049506,1719.03952259,1913.79233991,1748.99729255,1905.80741279,1999.45841136,1991.60499576,1537.72092698,1735.94992063,2010.77814896,1983.62528726,1997.758286,1993.03562506,2004.77236524,9662.02472712,8441.61590394,6272.06009064,7722.67067823,7178.36563607,6960.80343545,5927.21299809,5763.48318623,5839.89660005,5559.94661805,3825.34967674,4780.77869822,5305.02556881,0.36205668,0.31236191,0.28320579,0.27128681,0.34823969,0.34169854,0.31706159,0.28331907,0.3086793,0.38353567,0.37936427,0.42292323,0.38868033,9.1382102,4.58604192,4.1469946,5.86868505,5.31887905,9.62026159,4.93385998,2.7660454,3.4494229,6.88479173,7.52322887,9.5752115,8.35163228,36575.59673649,35352.02202723,36555.45979111,36915.27798084,37778.24278557,36964.01090709,35943.32567673,35668.35619135,36489.89741982,40562.77142847,39743.02162886,40324.15728661,37362.51974634,17251,20006,33779,38796,38854,21118,22642,37570,33758,37150,64152,58383,79607,48909,62746,107378,130740,140246,53263,62121,107732,109804,131184,204802,180255,225284,11418.899999999998,22262.470000000005,48152.94,64180.6,76632.88,8316.15,13855.16,35929.4,48870.35999999999,65010.19999999999,94587.17,75221.99,85983.91
13,49225,66083,77600,85638,88088,81654,93418,104905,114155,115591,117344,118510,103557,26497.30719578,25513.07221635,25388.07537588,26903.90220411,29412.16991426,27712.17104975,28437.35521863,28894.87041011,29805.92363915,29426.18594984,30455.64638056,32396.12433443,32191.33484955,1361.09211661,1719.03952259,1913.79233991,1748.99729255,1905.80741279,2019.89047162,1991.60499576,1537.72092698,1735.94992063,2010.77814896,1983.62528726,1997.758286,1993.03562506,10134.52608707,9662.02472712,8441.61590394,6272.06009064,7722.67067823,7671.59747456,6960.80343545,5927.21299809,5763.48318623,5839.89660005,5559.94661805,3825.34967674,4780.77869822,8.65958559,0.36205668,0.31236191,0.28320579,0.27128681,0.42845548,0.34169854,0.31706159,0.28331907,0.3086793,0.38353567,0.37936427,0.42292323,16.3809277,9.1382102,4.58604192,4.1469946,5.86868505,10.04615169,9.62026159,4.93385998,2.7660454,3.4494229,6.88479173,7.52322887,9.5752115,38263.81691628,36575.59673649,35352.02202723,36555.45979111,36915.27798084,37414.56968863,36964.01090709,35943.32567673,35668.35619135,36489.89741982,40562.77142847,39743.02162886,40324.15728661,12801,17251,20006,33779,38796,18521,21118,22642,37570,33758,37150,64152,58383,36852,48909,62746,107378,130740,47350,53263,62121,107732,109804,131184,204802,180255,8207.53,11418.899999999998,22262.470000000005,48152.94,64180.6,6785.5700000000015,8316.15,13855.16,35929.4,48870.35999999999,65010.19999999999,94587.17,75221.99
14,35804,49225,66083,77600,85638,70826,81654,93418,104905,114155,115591,117344,118510,27327.40686275,26497.30719578,25513.07221635,25388.07537588,26903.90220411,28518.09423547,27712.17104975,28437.35521863,28894.87041011,29805.92363915,29426.18594984,30455.64638056,32396.12433443,1596.70548619,1361.09211661,1719.03952259,1913.79233991,1748.99729255,2013.97064037,2019.89047162,1991.60499576,1537.72092698,1735.94992063,2010.77814896,1983.62528726,1997.758286,9472.36993943,10134.52608707,9662.02472712,8441.61590394,6272.06009064,7281.69796796,7671.59747456,6960.80343545,5927.21299809,5763.48318623,5839.89660005,5559.94661805,3825.34967674,41.82822091,8.65958559,0.36205668,0.31236191,0.28320579,0.44246258,0.42845548,0.34169854,0.31706159,0.28331907,0.3086793,0.38353567,0.37936427,13.60024753,16.3809277,9.1382102,4.58604192,4.1469946,11.15289508,10.04615169,9.62026159,4.93385998,2.7660454,3.4494229,6.88479173,7.52322887,39024.64011509,38263.81691628,36575.59673649,35352.02202723,36555.45979111,37703.12219417,37414.56968863,36964.01090709,35943.32567673,35668.35619135,36489.89741982,40562.77142847,39743.02162886,15858,12801,17251,20006,33779,19836,18521,21118,22642,37570,33758,37150,64152,42945,36852,48909,62746,107378,51362,47350,53263,62121,107732,109804,131184,204802,7944.9,8207.53,11418.899999999998,22262.470000000005,48152.94,8019.019999999998,6785.5700000000015,8316.15,13855.16,35929.4,48870.35999999999,65010.19999999999,94587.17
15,38098,35804,49225,66083,77600,68055,70826,81654,93418,104905,114155,115591,117344,28480.75716362,27327.40686275,26497.30719578,25513.07221635,25388.07537588,29694.81061907,28518.09423547,27712.17104975,28437.35521863,28894.87041011,29805.92363915,29426.18594984,30455.64638056,2004.55669133,1596.70548619,1361.09211661,1719.03952259,1913.79233991,1200.78767068,2013.97064037,2019.89047162,1991.60499576,1537.72092698,1735.94992063,2010.77814896,1983.62528726,8276.52916609,9472.36993943,10134.52608707,9662.02472712,8441.61590394,7260.27703038,7281.69796796,7671.59747456,6960.80343545,5927.21299809,5763.48318623,5839.89660005,5559.94661805,39.42202944,41.82822091,8.65958559,0.36205668,0.31236191,0.40395217,0.44246258,0.42845548,0.34169854,0.31706159,0.28331907,0.3086793,0.38353567,9.69900293,13.60024753,16.3809277,9.1382102,4.58604192,11.00015271,11.15289508,10.04615169,9.62026159,4.93385998,2.7660454,3.4494229,6.88479173,38233.1163888,39024.64011509,38263.81691628,36575.59673649,35352.02202723,37402.36663729,37703.12219417,37414.56968863,36964.01090709,35943.32567673,35668.35619135,36489.89741982,40562.77142847,31494,15858,12801,17251,20006,27150,19836,18521,21118,22642,37570,33758,37150,86834,42945,36852,48909,62746,73848,51362,47350,53263,62121,107732,109804,131184,24995.94,7944.9,8207.53,11418.899999999998,22262.470000000005,17252.29,8019.019999999998,6785.5700000000015,8316.15,13855.16,35929.4,48870.35999999999,65010.19999999999
